"ID";"Requisito asociado";"Título";"Precondiciones";"Pasos";"Datos de prueba";"Resultado esperado";"Prioridad";"Tipo";"Técnica de diseño";"Estado";"Defecto"
"CP-001";"RF-01, RF-09";"Alta de empleado con los datos mínimos obligatorios";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir First Name y Last Name.
3. Dejar «Create Login Details» desactivado.
4. Pulsar Save.";"First Name: Lucía · Last Name: Herrera";"El empleado se crea, aparece el aviso «Successfully Saved» y la aplicación redirige a la ficha del empleado con el Employee Id asignado.";"Alta";"Funcional / Smoke";"Tabla de decisión (R1)";"Pasa";"—"
"CP-002";"RF-01";"El alta sin First Name se rechaza";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Dejar First Name vacío e introducir solo Last Name.
3. Pulsar Save.";"First Name: (vacío) · Last Name: Herrera";"El empleado no se crea y aparece el mensaje «Required» bajo el campo First Name.";"Alta";"Funcional negativo";"Tabla de decisión (R2)";"Pasa";"—"
"CP-003";"RF-01";"El alta sin Last Name se rechaza";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir solo First Name.
3. Pulsar Save.";"First Name: Lucía · Last Name: (vacío)";"El empleado no se crea y aparece el mensaje «Required» bajo el campo Last Name.";"Media";"Funcional negativo";"Particiones de equivalencia";"Pasa";"—"
"CP-004";"RF-02";"First Name admite exactamente 30 caracteres (límite superior)";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Pegar en First Name una cadena de 30 caracteres.
3. Introducir un Last Name válido.
4. Pulsar Save y abrir la ficha creada.";"First Name: Abcdefghijklmnopqrstuvwxyzabcd (30) · Last Name: Herrera";"El empleado se crea y el nombre se almacena y se muestra completo, sin truncar.";"Media";"Funcional positivo";"Valores límite";"Pasa";"—"
"CP-005";"RF-02";"First Name no admite 31 caracteres (límite superior + 1)";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Pegar en First Name una cadena de 31 caracteres.
3. Observar el contenido del campo.
4. Pulsar Save.";"First Name: Abcdefghijklmnopqrstuvwxyzabcde (31)";"El campo impide superar los 30 caracteres o el sistema muestra un error de longitud. En ningún caso se guarda un valor truncado en silencio.";"Media";"Funcional negativo";"Valores límite";"Pasa";"—"
"CP-006";"RF-04";"El alta con un Employee Id ya existente se rechaza";"Sesión iniciada como Admin. Existe un empleado con Employee Id conocido.";"1. Anotar el Employee Id de un empleado existente desde PIM > Employee List.
2. Ir a PIM > Add Employee.
3. Introducir nombre y apellido válidos.
4. Sustituir el Employee Id autogenerado por el anotado en el paso 1.
5. Pulsar Save.";"Employee Id: (uno ya existente en el listado)";"El empleado no se crea y se muestra un mensaje indicando que el Employee Id ya está en uso.";"Alta";"Funcional negativo";"Tabla de decisión (R3)";"Pasa";"—"
"CP-007";"RF-01";"El alta con nombres compuestos solo por espacios en blanco se rechaza";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir tres espacios en First Name y tres en Last Name.
3. Pulsar Save.";"First Name: «   » · Last Name: «   »";"El sistema trata los campos como vacíos y muestra «Required». No se crea un empleado sin nombre visible en el listado.";"Media";"Funcional negativo";"Conjetura de errores";"Pasa";"—"
"CP-008";"RF-01";"Los campos de nombre no admiten dígitos ni caracteres especiales";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir en First Name una cadena numérica y en Last Name símbolos.
3. Pulsar Save.
4. Volver a PIM > Employee List y localizar el registro.";"First Name: 12345 · Last Name: !@#$%^&*()";"El sistema rechaza la entrada con un mensaje de validación de formato: un nombre de persona no admite dígitos ni símbolos.";"Media";"Funcional negativo";"Particiones de equivalencia";"Falla";"BUG-001"
"CP-009";"RF-05";"La foto de perfil por encima de 1 MB se rechaza";"Sesión iniciada como Admin. Fichero de imagen de ~1,2 MB disponible.";"1. Ir a PIM > Add Employee.
2. Pulsar sobre el área de la foto y seleccionar el fichero de 1,2 MB.
3. Introducir nombre y apellido válidos.
4. Pulsar Save.";"Fichero: foto-1200kb.jpg (1,2 MB)";"El sistema rechaza el fichero indicando que se supera el tamaño máximo permitido, y no crea el empleado con una foto inválida.";"Media";"Funcional negativo";"Valores límite";"Pasa";"—"
"CP-010";"RF-06, RF-07, RF-08";"Alta de empleado con credenciales de acceso válidas";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir nombre y apellido válidos.
3. Activar «Create Login Details».
4. Introducir usuario y contraseña que cumplen la política, estado Enabled.
5. Pulsar Save.
6. Comprobar en Admin > User Management que el usuario aparece.";"Usuario: dcoya.test01 · Contraseña: Test1234";"El empleado se crea con su usuario asociado y este figura en la lista de usuarios del sistema con estado Enabled.";"Alta";"Funcional positivo";"Tabla de decisión (R4)";"Pasa";"—"
"CP-011";"RF-08, RF-09";"Una contraseña que incumple la política no debe dejar el empleado creado";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir nombre y apellido válidos.
3. Activar «Create Login Details».
4. Introducir un usuario válido y la contraseña «test» (incumple la política).
5. Pulsar Save.
6. Ir a PIM > Employee List y buscar el nombre introducido.";"Usuario: dcoya.test02 · Contraseña: test";"El formulario muestra el error de política de contraseña y NO se crea el empleado: la operación es atómica.";"Alta";"Funcional negativo";"Tabla de decisión (R5)";"Falla";"BUG-002"
"CP-012";"RF-07";"El nombre de usuario por debajo de 5 caracteres se rechaza";"Sesión iniciada como Admin.";"1. Ir a PIM > Add Employee.
2. Introducir nombre y apellido válidos.
3. Activar «Create Login Details».
4. Introducir un usuario de 4 caracteres y una contraseña válida.
5. Pulsar Save.";"Usuario: dcoy (4 caracteres) · Contraseña: Test1234";"El sistema muestra el mensaje de longitud mínima del nombre de usuario y no crea el registro.";"Media";"Funcional negativo";"Valores límite";"Pasa";"—"
"CP-013";"RF-10";"Búsqueda de empleado por Employee Id exacto";"Sesión iniciada como Admin. Existe un empleado con Employee Id conocido.";"1. Ir a PIM > Employee List.
2. Introducir el Employee Id en el campo correspondiente.
3. Pulsar Search.";"Employee Id: (el del empleado creado en CP-001)";"El listado devuelve únicamente el empleado con ese identificador y el contador indica «(1) Record Found».";"Alta";"Funcional / Smoke";"Particiones de equivalencia";"Pasa";"—"
"CP-014";"RF-11";"El autocompletado de Employee Name sugiere a partir del tercer carácter";"Sesión iniciada como Admin.";"1. Ir a PIM > Employee List.
2. Escribir dos caracteres en Employee Name y esperar.
3. Escribir un tercer carácter y esperar.";"Texto: «Lu» y después «Luc»";"Con dos caracteres no se despliegan sugerencias; con tres aparece la lista de coincidencias.";"Media";"Funcional positivo";"Valores límite";"Pasa";"—"
"CP-015";"RF-11";"Búsqueda con texto parcial válido sin seleccionar sugerencia";"Sesión iniciada como Admin. Existe al menos un empleado cuyo nombre empieza por «Luc».";"1. Ir a PIM > Employee List.
2. Escribir «Luc» en Employee Name sin pulsar ninguna sugerencia.
3. Pulsar Search.";"Texto: Luc";"El sistema busca por coincidencia parcial y devuelve los empleados cuyo nombre contiene el texto, o bien indica con claridad que debe elegirse una sugerencia. No debe etiquetarse como «Invalid» un dato correcto.";"Media";"Usabilidad";"Conjetura de errores";"Falla";"BUG-003"
"CP-016";"RF-12";"El filtro combinado aplica conjunción lógica entre criterios";"Sesión iniciada como Admin.";"1. Ir a PIM > Employee List.
2. Seleccionar una Sub Unit con varios empleados.
3. Seleccionar además un Employment Status.
4. Pulsar Search.
5. Revisar las columnas del resultado.";"Sub Unit: Engineering · Employment Status: Full-Time Permanent";"Todos los registros devueltos cumplen simultáneamente los dos criterios; ninguno cumple solo uno.";"Alta";"Funcional positivo";"Tabla de decisión";"Pasa";"—"
"CP-017";"RF-16";"Búsqueda sin coincidencias muestra «No Records Found»";"Sesión iniciada como Admin.";"1. Ir a PIM > Employee List.
2. Introducir un Employee Id inexistente.
3. Pulsar Search.";"Employee Id: ZZ999999";"Se muestra el aviso «No Records Found», la tabla queda vacía y la cabecera y los filtros siguen operativos.";"Media";"Funcional negativo";"Particiones de equivalencia";"Pasa";"—"
"CP-018";"RF-13";"El botón Reset limpia todos los filtros y restaura el listado";"Sesión iniciada como Admin. Hay una búsqueda filtrada aplicada.";"1. Aplicar un filtro por Sub Unit y otro por Employment Status.
2. Pulsar Search y comprobar que el listado se reduce.
3. Pulsar Reset.";"—";"Todos los campos de filtro vuelven a su valor por defecto y el listado muestra de nuevo el total de empleados.";"Alta";"Funcional / Smoke";"Transición de estados";"Pasa";"—"
"CP-019";"RF-14, RF-17";"Al eliminar el último registro de la última página el listado se reubica";"Sesión iniciada como Admin. El listado tiene más de una página y la última contiene un único registro eliminable creado para la prueba.";"1. Ir a PIM > Employee List.
2. Navegar hasta la última página de la paginación.
3. Eliminar el único registro que contiene y confirmar.
4. Observar el listado resultante.";"—";"Tras el borrado la aplicación retrocede a la página anterior y muestra registros. No debe quedar una tabla vacía con un total mayor que cero.";"Media";"Funcional negativo";"Valores límite";"Falla";"BUG-004"
"CP-020";"RF-15";"La ordenación por columna se mantiene al cambiar de página";"Sesión iniciada como Admin. El listado tiene más de una página.";"1. Ir a PIM > Employee List.
2. Ordenar por Last Name en orden ascendente.
3. Comprobar el orden de la primera página.
4. Avanzar a la página siguiente y comprobar el orden.";"Columna: Last Name (A-Z)";"El criterio de ordenación persiste entre páginas y la secuencia alfabética continúa de forma coherente de una página a la siguiente.";"Baja";"Funcional";"Transición de estados";"Falla";"BUG-005"
